threshold,tp,fp,fn,tn,sensitivity,specificity,ppv,npv,f1_positive,accuracy,balanced_accuracy,youden_j,referral_rate,cost_fn1x,cost_fn5x,cost_fn10x,cost_fn20x
0.9,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.91,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.92,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.93,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.94,1801,0,76,4341,0.9595098561534363,1.0,1.0,0.9827937514149876,0.9793365959760739,0.9877774203924091,0.9797549280767182,0.9595098561534363,0.2896429720167256,1.2222579607590864,6.111289803795432,12.222579607590864,24.44515921518173
0.95,1801,0,76,4341,0.9595098561534363,1.0,1.0,0.9827937514149876,0.9793365959760739,0.9877774203924091,0.9797549280767182,0.9595098561534363,0.2896429720167256,1.2222579607590864,6.111289803795432,12.222579607590864,24.44515921518173
0.96,1801,0,76,4341,0.9595098561534363,1.0,1.0,0.9827937514149876,0.9793365959760739,0.9877774203924091,0.9797549280767182,0.9595098561534363,0.2896429720167256,1.2222579607590864,6.111289803795432,12.222579607590864,24.44515921518173
0.97,1801,0,76,4341,0.9595098561534363,1.0,1.0,0.9827937514149876,0.9793365959760739,0.9877774203924091,0.9797549280767182,0.9595098561534363,0.2896429720167256,1.2222579607590864,6.111289803795432,12.222579607590864,24.44515921518173
0.98,1801,0,76,4341,0.9595098561534363,1.0,1.0,0.9827937514149876,0.9793365959760739,0.9877774203924091,0.9797549280767182,0.9595098561534363,0.2896429720167256,1.2222579607590864,6.111289803795432,12.222579607590864,24.44515921518173
0.99,1800,0,77,4341,0.9589770911028237,1.0,1.0,0.982571299230421,0.9790590155017678,0.9876165969765198,0.9794885455514118,0.9589770911028237,0.28948214860083626,1.238340302348022,6.191701511740109,12.383403023480218,24.766806046960436
